elapsed_ms,tps,lat_avg_ms,server_lat_avg_ms,event
500,1326.0,3.69,2.08,
1000,1416.0,3.59,2.06,
1500,1374.0,3.59,2.07,
2000,1248.0,3.67,2.12,
2500,1346.0,3.67,2.11,
3000,1302.0,3.69,2.12,
3500,1180.0,3.75,2.17,
4000,1278.0,3.76,2.19,
4500,1260.0,3.78,2.21,
5000,1272.0,3.79,2.22,
5500,1304.0,3.79,2.23,
6000,1406.0,3.76,2.22,
6500,1430.0,3.74,2.20,
7000,1406.0,3.72,2.19,
7500,1414.0,3.70,2.18,
8000,1268.0,3.71,2.19,
8501,1284.0,3.72,2.20,
9001,1294.0,3.73,2.20,
9500,1360.0,3.72,2.20,
10000,1306.0,3.72,2.20,
10500,1284.0,3.73,2.21,
11000,1370.0,3.72,2.21,
11500,1406.0,3.71,2.20,
12000,1350.0,3.71,2.21,
12500,506.0,3.70,2.20,
13000,968.0,3.84,2.34,
13500,1204.0,3.85,2.34,
14000,1302.0,3.85,2.34,
14500,1228.0,3.85,2.35,
15000,1276.0,3.85,2.34,
15500,1360.0,3.85,2.34,
16000,1392.0,3.84,2.33,
16501,1266.0,3.84,2.33,
17000,1288.0,3.84,2.33,
17500,1382.0,3.83,2.33,
18000,1270.0,3.83,2.33,
18500,1324.0,3.83,2.32,
19000,1336.0,3.82,2.32,
19500,1348.0,3.82,2.32,
20000,1356.0,3.81,2.31,
20500,1244.0,3.82,2.32,
21000,1324.0,3.82,2.32,
21500,1428.0,3.81,2.31,
22000,1292.0,3.81,2.31,
22500,1310.0,3.81,2.30,
23001,1324.0,3.80,2.30,
23500,1356.0,3.80,2.30,
24000,1348.0,3.80,2.29,
24500,1340.0,3.79,2.29,
25000,1332.0,3.79,2.29,
25500,1332.0,3.79,2.29,
26000,1316.0,3.79,2.29,
26500,1342.0,3.79,2.29,
27000,1284.0,3.79,2.29,
27500,1302.0,3.79,2.29,
28000,1308.0,3.79,2.29,
28500,1376.0,3.78,2.28,
29000,1252.0,3.79,2.28,
29500,1270.0,3.79,2.28,
30000,1442.0,3.78,2.28,
30500,1408.0,3.78,2.27,
31000,1408.0,3.77,2.27,
31500,1358.0,3.77,2.27,
32000,1392.0,3.76,2.26,
32500,1366.0,3.76,2.26,
33000,1438.0,3.76,2.26,
33500,1432.0,3.75,2.25,
34000,1468.0,3.74,2.25,
34500,1420.0,3.74,2.25,
35000,1410.0,3.74,2.24,
35500,1374.0,3.73,2.24,
36000,1410.0,3.73,2.24,
36500,1538.0,3.72,2.23,
37000,1464.0,3.72,2.23,
37500,1396.0,3.71,2.23,
38001,1378.0,3.71,2.23,
38500,1480.0,3.71,2.22,
39000,1368.0,3.70,2.22,
39500,1398.0,3.70,2.22,
40000,1406.0,3.70,2.22,
40500,1270.0,3.70,2.22,
41000,1376.0,3.70,2.22,
41500,1416.0,3.70,2.22,
42000,1360.0,3.70,2.22,
42500,1276.0,3.70,2.22,
43000,1502.0,3.69,2.21,
43500,1378.0,3.69,2.21,
44000,1374.0,3.69,2.21,
44500,1430.0,3.69,2.21,
45000,1456.0,3.68,2.21,
45501,1396.0,3.68,2.20,
46000,960.0,3.69,2.22,
46501,1242.0,3.70,2.22,
47000,1264.0,3.70,2.22,
47500,1574.0,3.69,2.22,
48000,1456.0,3.69,2.21,
48500,1322.0,3.69,2.21,
49000,1306.0,3.69,2.21,
49500,1392.0,3.69,2.21,
50000,1294.0,3.69,2.21,
50500,1500.0,3.68,2.21,
51000,1402.0,3.68,2.21,
51500,1300.0,3.68,2.21,
52000,1438.0,3.68,2.21,
52500,1416.0,3.68,2.21,
53000,1482.0,3.67,2.20,
53500,1432.0,3.67,2.20,
54000,1490.0,3.67,2.20,
54500,1508.0,3.66,2.20,
55000,1418.0,3.66,2.19,
55500,1442.0,3.66,2.19,
56000,1378.0,3.66,2.19,
56500,1482.0,3.66,2.19,
57000,1376.0,3.65,2.19,
57500,1372.0,3.65,2.19,
58000,1464.0,3.65,2.19,
58500,1412.0,3.65,2.19,
59000,1448.0,3.65,2.18,
59500,1380.0,3.65,2.18,
60000,1394.0,3.65,2.18,
60500,1422.0,3.64,2.18,
61000,1346.0,3.64,2.18,
61500,1158.0,3.64,2.18,
