elapsed_ms,tps,lat_avg_ms,server_lat_avg_ms,event
500,1896.0,2.61,2.02,
1000,1716.0,2.74,2.16,
1500,1746.0,2.77,2.16,
2000,1698.0,2.81,2.20,
2500,1718.0,2.82,2.21,
3000,1642.0,2.85,2.23,
3500,2072.0,2.77,2.18,
4000,2156.0,2.70,2.13,
4500,2056.0,2.67,2.10,
5000,1914.0,2.66,2.09,
5500,1796.0,2.67,2.09,
6000,1692.0,2.68,2.10,
6500,1772.0,2.69,2.10,
7000,1746.0,2.70,2.10,
7500,1764.0,2.71,2.10,
8000,1724.0,2.72,2.11,
8500,1726.0,2.73,2.11,
9000,1696.0,2.74,2.12,
9500,1774.0,2.74,2.12,
10000,504.0,2.74,2.12,
10500,1740.0,2.84,2.23,
11000,1702.0,2.85,2.23,
11500,1720.0,2.85,2.23,
12000,1542.0,2.86,2.24,
12500,1788.0,2.86,2.24,
13000,1846.0,2.85,2.23,
13500,1956.0,2.84,2.22,
14000,1670.0,2.84,2.23,
14500,1768.0,2.84,2.23,
15000,1814.0,2.84,2.22,
15500,1976.0,2.82,2.21,
16000,1792.0,2.82,2.21,
16500,1790.0,2.82,2.20,
17000,1772.0,2.82,2.20,
17500,1796.0,2.82,2.20,
18000,1526.0,2.83,2.21,
18500,1796.0,2.83,2.21,
19000,1906.0,2.82,2.20,
19500,1888.0,2.81,2.19,
20000,1940.0,2.81,2.19,
20500,1704.0,2.81,2.19,
21000,1900.0,2.80,2.18,
21500,1776.0,2.80,2.18,
22000,1868.0,2.80,2.18,
22500,1830.0,2.80,2.18,
23000,1702.0,2.80,2.18,
23500,1858.0,2.80,2.17,
24000,1926.0,2.79,2.17,
24500,1840.0,2.79,2.17,
25000,1706.0,2.79,2.17,
25500,1824.0,2.79,2.17,
26000,1898.0,2.79,2.17,
26500,1854.0,2.78,2.16,
27000,1952.0,2.78,2.16,
27500,2000.0,2.77,2.15,
28000,1884.0,2.77,2.15,
28500,2032.0,2.76,2.14,
29000,1888.0,2.76,2.14,
29500,1960.0,2.76,2.14,
30000,1888.0,2.75,2.14,
30500,1976.0,2.75,2.13,
31000,2028.0,2.74,2.13,
31500,2166.0,2.74,2.12,
32000,1970.0,2.73,2.12,
32500,2032.0,2.73,2.12,
33000,1938.0,2.72,2.12,
33500,2188.0,2.72,2.11,
34000,2112.0,2.71,2.11,
34500,1890.0,2.71,2.10,
35000,1722.0,2.71,2.10,
35500,1822.0,2.71,2.10,
36000,1920.0,2.71,2.10,
36500,1888.0,2.71,2.10,
37000,1878.0,2.71,2.10,
37500,1824.0,2.71,2.10,
38000,1728.0,2.71,2.10,
38500,1764.0,2.71,2.10,
39000,2074.0,2.70,2.10,
39500,1940.0,2.70,2.10,
40000,1578.0,2.71,2.10,
40500,1852.0,2.71,2.10,
41000,1924.0,2.71,2.09,
41500,2120.0,2.70,2.09,
42000,1964.0,2.70,2.09,
42500,1910.0,2.70,2.09,
43000,1740.0,2.70,2.09,
43500,1478.0,2.70,2.10,
44000,1564.0,2.71,2.10,
44500,1592.0,2.71,2.10,
45000,2028.0,2.71,2.10,
45500,1854.0,2.71,2.10,
46000,1798.0,2.71,2.10,
46500,1790.0,2.71,2.10,
47000,1896.0,2.71,2.10,
47500,1776.0,2.71,2.10,
48000,1832.0,2.71,2.10,
48500,1898.0,2.71,2.10,
49000,1966.0,2.71,2.10,
49500,2082.0,2.70,2.09,
50000,1808.0,2.70,2.09,
50500,1972.0,2.70,2.09,
51000,1798.0,2.70,2.09,
51500,2036.0,2.70,2.09,
52000,1946.0,2.70,2.09,
52500,1850.0,2.70,2.09,
53000,1960.0,2.69,2.08,
53500,1960.0,2.69,2.08,
54000,1934.0,2.69,2.08,
54500,1846.0,2.69,2.08,
55000,1970.0,2.69,2.08,
55500,1998.0,2.69,2.08,
56000,2022.0,2.69,2.08,
56500,1936.0,2.68,2.08,
57000,1854.0,2.68,2.08,
57500,2060.0,2.68,2.07,
58000,1914.0,2.68,2.07,
58500,1870.0,2.68,2.07,
59000,850.0,2.68,2.07,
