elapsed_ms,tps,lat_avg_ms,server_lat_avg_ms,event
500,1154.0,4.27,2.80,
1000,1274.0,4.06,2.67,
1500,1314.0,3.96,2.58,
2000,1586.0,3.71,2.42,
2500,1664.0,3.54,2.30,
3000,1724.0,3.40,2.20,
3500,1718.0,3.32,2.13,
4000,1816.0,3.23,2.07,
4500,1618.0,3.21,2.06,
5000,1688.0,3.18,2.04,
5500,1830.0,3.13,2.01,
6000,1618.0,3.12,2.02,
6500,1572.0,3.12,2.02,
7000,1516.0,3.13,2.03,
7500,1450.0,3.15,2.04,
8000,1446.0,3.16,2.05,
8500,1512.0,3.17,2.04,
9000,1764.0,3.15,2.02,
9500,1628.0,3.14,2.01,
10000,1666.0,3.13,2.00,
10500,1482.0,3.14,2.01,
11000,1618.0,3.13,2.00,
11500,1550.0,3.14,2.00,
12000,1478.0,3.15,2.00,
12500,1570.0,3.14,2.00,
13000,1604.0,3.14,2.00,
13500,1650.0,3.14,2.00,
14000,1628.0,3.13,1.99,
14500,1662.0,3.13,1.99,
15000,1154.0,3.12,1.99,
15500,956.0,3.20,2.06,
16000,1556.0,3.20,2.07,
16501,1546.0,3.20,2.06,
17000,1488.0,3.20,2.07,
17500,1518.0,3.20,2.07,
18000,1598.0,3.20,2.07,
18500,1558.0,3.20,2.06,
19000,1530.0,3.20,2.06,
19500,1534.0,3.20,2.06,
20000,1538.0,3.20,2.06,
20500,1636.0,3.19,2.05,
21000,1494.0,3.20,2.05,
21500,1564.0,3.19,2.05,
22000,1696.0,3.19,2.05,
22500,1562.0,3.19,2.05,
23000,1558.0,3.19,2.05,
23500,1634.0,3.18,2.05,
24000,1724.0,3.18,2.04,
24500,1918.0,3.16,2.04,
25000,1656.0,3.16,2.03,
25500,1604.0,3.15,2.03,
26000,1706.0,3.15,2.03,
26500,1574.0,3.15,2.03,
27000,1696.0,3.14,2.03,
27500,1656.0,3.14,2.02,
28000,1532.0,3.14,2.03,
28501,1680.0,3.14,2.02,
29000,1730.0,3.13,2.02,
29500,1630.0,3.13,2.02,
30000,1690.0,3.13,2.02,
30500,1614.0,3.13,2.02,
31000,1808.0,3.12,2.02,
31500,1520.0,3.12,2.02,
32000,1710.0,3.12,2.02,
32500,1720.0,3.11,2.01,
33000,1940.0,3.10,2.01,
33500,1798.0,3.10,2.00,
34000,1898.0,3.09,2.00,
34500,1816.0,3.08,2.00,
35000,1804.0,3.08,1.99,
35500,1850.0,3.07,1.99,
36001,1826.0,3.07,1.99,
36500,1882.0,3.06,1.99,
37000,1840.0,3.05,1.98,
37500,1660.0,3.05,1.98,
38000,1696.0,3.05,1.98,
38500,1694.0,3.05,1.97,
39000,1680.0,3.05,1.97,
39500,1684.0,3.04,1.97,
40000,1614.0,3.05,1.97,
40500,1638.0,3.04,1.97,
41000,1704.0,3.04,1.96,
41500,1812.0,3.04,1.96,
42000,1772.0,3.04,1.96,
42500,1752.0,3.03,1.96,
43000,1560.0,3.03,1.96,
43500,1650.0,3.03,1.96,
44000,1624.0,3.03,1.96,
44500,1698.0,3.03,1.96,
45000,1706.0,3.03,1.96,
45500,1998.0,3.02,1.95,
46000,1844.0,3.02,1.95,
46500,1858.0,3.02,1.95,
47000,1996.0,3.01,1.95,
47500,1748.0,3.01,1.95,
48000,1614.0,3.00,1.95,
48500,738.0,3.02,1.96,
49000,1558.0,3.03,1.97,
49501,1466.0,3.03,1.97,
50000,1736.0,3.03,1.97,
50500,1728.0,3.03,1.96,
51000,1564.0,3.03,1.97,
51500,1720.0,3.02,1.96,
52001,1734.0,3.02,1.96,
52500,1594.0,3.02,1.96,
53000,1842.0,3.02,1.96,
53500,1804.0,3.02,1.96,
54000,1650.0,3.02,1.96,
54500,1782.0,3.01,1.96,
55000,1608.0,3.01,1.96,
55500,1644.0,3.01,1.96,
56000,1528.0,3.02,1.96,
56500,1968.0,3.01,1.95,
57000,1856.0,3.01,1.95,
57500,1680.0,3.01,1.95,
58000,1686.0,3.01,1.95,
58500,1702.0,3.00,1.95,
59001,1806.0,3.00,1.95,
59500,1728.0,3.00,1.95,
60001,1660.0,3.00,1.95,
60500,1624.0,3.00,1.95,
61001,1624.0,3.00,1.95,
61500,1482.0,3.00,1.95,
62000,1604.0,3.00,1.95,
62500,1570.0,3.00,1.94,
63000,1608.0,3.01,1.94,
63500,1552.0,3.01,1.94,
64000,1220.0,3.01,1.94,
