system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict,fallbacks
woc,5,n5_woc_mongo_workload_a,merged_woc_servers_20260807_204304.csv,0.0,2.843,2.6,5.4,6.5,0.0,0.0
woc,5,n5_woc_mongo_workload_b,merged_woc_servers_20260807_204608.csv,0.0,2.87,2.8,5.0,5.9,0.0,0.0
woc,5,n5_woc_mongo_workload_c,merged_woc_servers_20260807_204917.csv,0.0,3.648,3.6,5.5,6.4,0.0,0.0
woc,5,n5_woc_mongo_workload_d,merged_woc_servers_20260807_205224.csv,36.2,3.842,3.8,5.4,6.4,0.0,19748.0
woc,5,n5_woc_mongo_workload_e,merged_woc_servers_20260807_205534.csv,250.0,3.842,3.8,5.4,6.4,0.0,23258.0
woc,5,n5_woc_mongo_workload_f,merged_woc_servers_20260807_205839.csv,0.0,2.78,2.8,4.2,5.2,0.0,0.0
