metric,value,notes
NUM_SERVER_DIRS,5,server* folders under eval
NUM_SERVERS_MERGED,5,servers with CSV data
TOTAL_THROUGHPUT,0.0 Tx/sec,sum of all servers
AVG_LATENCY,3.648 ms,across all batches all servers
P50_LATENCY,3.6 ms,
P95_LATENCY,5.5 ms,
P99_LATENCY,6.4 ms,
AVG_FAST_PATH_LATENCY,0.000 ms,
AVG_SLOW_PATH_LATENCY,0.000 ms,
TOTAL_FAST_COMMITS,0,0.0%
TOTAL_SLOW_COMMITS,0,0.0%
TOTAL_CONFLICT_COMMITS,0,
TOTAL_FAST_PATH_FALLBACKS,0,
