system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict,fallbacks
woc,5,indep_0.0,merged_woc_clients_20260805_215513.csv,841.0,5.791,5.5,9.5,10.8,0.0,0.0
woc,5,indep_10.0,merged_woc_clients_20260805_215333.csv,848.9,5.753,5.3,9.7,11.3,0.0,0.0
woc,5,indep_100.0,merged_woc_clients_20260805_214329.csv,9956.4,2.469,2.3,4.0,5.2,0.0,0.0
woc,5,indep_20.0,merged_woc_clients_20260805_215154.csv,943.6,5.181,4.8,9.2,11.1,0.0,0.0
woc,5,indep_40.0,merged_woc_clients_20260805_215013.csv,1149.0,4.815,4.2,8.9,11.3,0.0,0.0
woc,5,indep_60.0,merged_woc_clients_20260805_214834.csv,2435.2,9.278,3.9,24.7,29.0,0.0,0.0
woc,5,indep_80.0,merged_woc_clients_20260805_214653.csv,5000.0,4.911,2.9,16.6,21.0,0.0,0.0
woc,5,indep_90.0,merged_woc_clients_20260805_214513.csv,8802.9,2.784,2.5,5.7,9.0,0.0,0.0
