metric,value,notes
NUM_SERVER_DIRS,5,server* folders under eval
NUM_SERVERS_MERGED,5,servers with CSV data
TOTAL_THROUGHPUT,16410.9 Tx/sec,sum of all servers
AVG_LATENCY,1.322 ms,across all batches all servers
P50_LATENCY,1.2 ms,
P95_LATENCY,2.4 ms,
P99_LATENCY,3.3 ms,
AVG_FAST_PATH_LATENCY,1.324 ms,
AVG_SLOW_PATH_LATENCY,0.918 ms,
TOTAL_FAST_COMMITS,304348,99.1%
TOTAL_SLOW_COMMITS,2762,0.9%
TOTAL_CONFLICT_COMMITS,0,
TOTAL_FAST_PATH_FALLBACKS,7,
