elapsed_ms,tps,lat_avg_ms,server_lat_avg_ms,event
500,886.0,3.65,2.16,
1000,1346.0,3.66,2.12,
1500,1508.0,3.49,2.04,
2000,1088.0,3.73,2.16,
2500,1268.0,3.76,2.19,
3000,1374.0,3.73,2.19,
3500,1318.0,3.73,2.21,
4000,1384.0,3.71,2.21,
4500,1402.0,3.68,2.21,
5000,1374.0,3.67,2.22,
5500,1442.0,3.65,2.21,
6000,1404.0,3.63,2.20,
6500,1474.0,3.61,2.19,
7000,1384.0,3.60,2.19,
7500,1506.0,3.58,2.18,
8000,1432.0,3.57,2.18,
8500,1476.0,3.55,2.17,
9000,1378.0,3.55,2.17,
9500,480.0,3.69,2.30,
10000,1366.0,3.68,2.29,
10500,1388.0,3.68,2.29,
11000,1494.0,3.66,2.28,
11500,1476.0,3.64,2.27,
12000,1330.0,3.64,2.27,
12500,1434.0,3.63,2.27,
13000,1324.0,3.64,2.27,
13500,1470.0,3.63,2.26,
14000,1534.0,3.61,2.25,
14500,1456.0,3.60,2.24,
15000,1452.0,3.59,2.24,
15500,1390.0,3.59,2.24,
16000,1524.0,3.58,2.23,
16500,1492.0,3.57,2.23,
17000,1374.0,3.57,2.22,
17500,1438.0,3.56,2.22,
18000,1444.0,3.56,2.22,
18500,1568.0,3.55,2.21,
19000,1428.0,3.54,2.21,
19500,1432.0,3.54,2.20,
20000,1406.0,3.54,2.20,
20500,1406.0,3.54,2.19,
21000,1436.0,3.54,2.19,
21500,1428.0,3.53,2.19,
22000,1496.0,3.53,2.18,
22500,1506.0,3.52,2.18,
23001,1396.0,3.52,2.18,
23500,1450.0,3.52,2.18,
24000,1364.0,3.52,2.18,
24500,1458.0,3.52,2.17,
25000,1280.0,3.52,2.18,
25501,1378.0,3.52,2.18,
26000,1476.0,3.52,2.17,
26500,1448.0,3.52,2.17,
27001,1442.0,3.52,2.16,
27500,1396.0,3.52,2.16,
28000,1490.0,3.51,2.16,
28500,1364.0,3.51,2.16,
29000,1332.0,3.52,2.16,
29500,1444.0,3.51,2.16,
30000,1446.0,3.51,2.16,
30500,1378.0,3.51,2.16,
31000,1582.0,3.51,2.15,
31500,1344.0,3.51,2.15,
32000,1408.0,3.51,2.15,
32500,1318.0,3.51,2.15,
33000,1398.0,3.51,2.15,
33500,1398.0,3.51,2.15,
34000,1328.0,3.51,2.16,
34500,1412.0,3.51,2.15,
35000,1436.0,3.51,2.15,
35500,1486.0,3.51,2.15,
36000,1402.0,3.51,2.15,
36500,1398.0,3.51,2.15,
37000,1460.0,3.51,2.15,
37500,1528.0,3.50,2.14,
38000,1450.0,3.50,2.14,
38500,1432.0,3.50,2.14,
39000,1412.0,3.50,2.14,
39500,1306.0,3.50,2.14,
40000,1344.0,3.51,2.14,
40500,1366.0,3.51,2.15,
41000,1402.0,3.51,2.15,
41500,1506.0,3.50,2.14,
42000,1404.0,3.50,2.14,
42500,1392.0,3.50,2.14,
43000,1380.0,3.50,2.14,
43500,1390.0,3.50,2.14,
44000,1520.0,3.50,2.14,
44500,1598.0,3.50,2.14,
45000,1442.0,3.50,2.14,
45500,1540.0,3.49,2.13,
46000,1286.0,3.49,2.13,
46500,1316.0,3.50,2.14,
47000,1378.0,3.50,2.14,
47500,1308.0,3.50,2.14,
48000,1388.0,3.50,2.14,
48500,1282.0,3.50,2.14,
49000,1334.0,3.51,2.14,
49500,1316.0,3.51,2.14,
50000,1456.0,3.51,2.14,
50500,1366.0,3.51,2.14,
51000,1522.0,3.51,2.14,
51500,1528.0,3.50,2.14,
52000,1320.0,3.50,2.14,
52500,1542.0,3.50,2.14,
53000,1508.0,3.50,2.14,
53500,1426.0,3.50,2.14,
54000,1518.0,3.50,2.13,
54500,1488.0,3.49,2.13,
55000,1562.0,3.49,2.13,
55500,1472.0,3.49,2.13,
56000,1482.0,3.49,2.13,
56500,1598.0,3.48,2.13,
57000,1600.0,3.48,2.12,
57500,1408.0,3.48,2.12,
58000,1492.0,3.48,2.12,
58500,1392.0,3.48,2.12,
59000,1392.0,3.48,2.12,
59500,1330.0,3.48,2.12,
60000,1286.0,3.48,2.12,
60500,1428.0,3.48,2.12,
61000,1420.0,3.48,2.12,
61501,846.0,3.48,2.12,
