elapsed_ms,tps,lat_avg_ms,server_lat_avg_ms,event
500,1188.0,2.62,2.05,
1000,1954.0,2.57,2.05,
1500,1814.0,2.63,2.09,
2000,1784.0,2.66,2.13,
2500,1750.0,2.70,2.15,
3000,2014.0,2.65,2.10,
3500,1878.0,2.65,2.10,
4000,2020.0,2.62,2.07,
4500,1878.0,2.62,2.08,
5000,1952.0,2.61,2.08,
5500,1940.0,2.61,2.07,
6000,2024.0,2.59,2.06,
6500,1982.0,2.59,2.06,
7000,528.0,2.72,2.19,
7500,1976.0,2.71,2.18,
8000,1960.0,2.70,2.17,
8500,1922.0,2.69,2.16,
9000,1964.0,2.68,2.15,
9500,1802.0,2.68,2.16,
10000,1912.0,2.68,2.15,
10501,1916.0,2.67,2.15,
11000,1902.0,2.67,2.14,
11500,2104.0,2.65,2.13,
12000,2062.0,2.64,2.12,
12500,1880.0,2.64,2.12,
13000,1962.0,2.64,2.11,
13500,2070.0,2.63,2.10,
14000,1922.0,2.62,2.10,
14500,1848.0,2.63,2.10,
15000,1834.0,2.63,2.10,
15500,1994.0,2.62,2.09,
16000,2010.0,2.62,2.08,
16500,1868.0,2.62,2.09,
17000,1992.0,2.62,2.08,
17500,2168.0,2.60,2.07,
18000,1996.0,2.60,2.07,
18500,2084.0,2.59,2.06,
19000,1990.0,2.59,2.06,
19500,2048.0,2.59,2.05,
20000,1966.0,2.58,2.05,
20500,1830.0,2.59,2.05,
21000,1968.0,2.59,2.05,
21500,1882.0,2.59,2.05,
22000,2090.0,2.58,2.04,
22500,1884.0,2.58,2.05,
23000,2036.0,2.58,2.04,
23500,2132.0,2.57,2.04,
24000,1884.0,2.57,2.03,
24500,2002.0,2.57,2.03,
25000,1942.0,2.57,2.03,
25500,2004.0,2.57,2.03,
26000,1850.0,2.57,2.03,
26500,1870.0,2.57,2.03,
27000,2108.0,2.57,2.03,
27500,2030.0,2.57,2.03,
28000,2000.0,2.56,2.03,
28500,2088.0,2.56,2.02,
29000,1810.0,2.56,2.03,
29500,1842.0,2.56,2.03,
30000,1834.0,2.57,2.03,
30500,1744.0,2.57,2.03,
31000,1808.0,2.57,2.03,
31500,1794.0,2.58,2.04,
32000,2076.0,2.57,2.03,
32500,2088.0,2.57,2.03,
33000,2142.0,2.57,2.02,
33500,1970.0,2.56,2.02,
34000,1890.0,2.57,2.02,
34500,2048.0,2.56,2.02,
35000,2048.0,2.56,2.02,
35500,1970.0,2.56,2.02,
36000,1902.0,2.56,2.02,
36500,1920.0,2.56,2.02,
37000,1788.0,2.56,2.02,
37500,1872.0,2.56,2.03,
38000,1876.0,2.57,2.03,
38501,1956.0,2.57,2.03,
39000,1988.0,2.56,2.03,
39500,1930.0,2.56,2.03,
40000,1816.0,2.57,2.03,
40501,2020.0,2.56,2.03,
41000,2008.0,2.56,2.02,
41500,1938.0,2.56,2.02,
42000,2106.0,2.56,2.02,
42500,2010.0,2.56,2.02,
43000,2148.0,2.56,2.02,
43500,1872.0,2.56,2.02,
44000,1800.0,2.56,2.02,
44500,1900.0,2.56,2.02,
45000,1912.0,2.56,2.02,
45500,1904.0,2.56,2.02,
46000,1828.0,2.56,2.02,
46500,1838.0,2.56,2.02,
47000,2042.0,2.56,2.02,
47500,2194.0,2.56,2.02,
48000,1872.0,2.56,2.02,
48500,2154.0,2.56,2.02,
49000,2104.0,2.55,2.02,
49500,2004.0,2.55,2.02,
50000,2074.0,2.55,2.02,
50500,2020.0,2.55,2.02,
51000,1914.0,2.55,2.02,
51500,1972.0,2.55,2.02,
52000,2126.0,2.55,2.01,
52500,2030.0,2.55,2.01,
53000,1904.0,2.55,2.01,
53500,2010.0,2.55,2.01,
54000,1968.0,2.55,2.01,
54500,2084.0,2.54,2.01,
55000,1960.0,2.54,2.01,
55500,2068.0,2.54,2.01,
56000,2000.0,2.54,2.01,
56500,2036.0,2.54,2.01,
57000,1998.0,2.54,2.01,
57500,1872.0,2.54,2.01,
58000,1856.0,2.54,2.01,
58500,1902.0,2.54,2.01,
59000,460.0,2.54,2.01,
