elapsed_ms,tps,lat_avg_ms,server_lat_avg_ms,event
500,770.0,4.19,2.79,
1000,1320.0,3.91,2.56,
1500,1408.0,3.75,2.45,
2001,1786.0,3.42,2.26,
2500,1722.0,3.28,2.16,
3000,1704.0,3.21,2.07,
3500,1618.0,3.18,2.03,
4000,1692.0,3.14,1.98,
4500,1560.0,3.13,1.97,
5000,1516.0,3.16,2.01,
5500,1620.0,3.14,1.99,
6000,1562.0,3.14,2.00,
6500,1580.0,3.14,2.00,
7000,1502.0,3.15,2.01,
7500,1652.0,3.14,2.00,
8000,1624.0,3.13,2.01,
8500,1640.0,3.13,2.00,
9000,1726.0,3.11,1.99,
9500,1608.0,3.11,1.99,
10000,1566.0,3.11,1.99,
10500,1640.0,3.10,1.99,
11001,1506.0,3.11,2.00,
11500,1596.0,3.11,1.99,
12000,630.0,3.11,1.99,
12500,1548.0,3.19,2.07,
13000,1564.0,3.19,2.07,
13500,1780.0,3.17,2.06,
14000,1696.0,3.16,2.05,
14500,1568.0,3.16,2.05,
15000,1538.0,3.16,2.05,
15500,1808.0,3.14,2.04,
16000,1700.0,3.14,2.04,
16500,1644.0,3.13,2.03,
17000,1688.0,3.12,2.02,
17500,1668.0,3.12,2.02,
18001,1698.0,3.11,2.02,
18500,1746.0,3.10,2.01,
19000,1716.0,3.10,2.01,
19500,1762.0,3.09,2.01,
20000,1814.0,3.08,2.00,
20500,1760.0,3.07,2.00,
21000,1790.0,3.06,1.99,
21500,1684.0,3.06,1.99,
22000,1744.0,3.05,1.98,
22500,1754.0,3.05,1.98,
23000,1740.0,3.04,1.97,
23500,1930.0,3.03,1.97,
24000,1806.0,3.02,1.96,
24500,1918.0,3.01,1.96,
25000,1832.0,3.01,1.95,
25500,1650.0,3.00,1.95,
26000,1716.0,3.00,1.95,
26500,1642.0,3.00,1.95,
27000,1772.0,3.00,1.95,
27500,1634.0,3.00,1.95,
28000,1694.0,3.00,1.95,
28500,1912.0,2.99,1.94,
29000,1790.0,2.98,1.94,
29500,1712.0,2.98,1.94,
30000,1698.0,2.98,1.94,
30500,1810.0,2.98,1.94,
31000,1786.0,2.97,1.94,
31500,1662.0,2.97,1.94,
32000,1934.0,2.97,1.94,
32501,1998.0,2.96,1.93,
33000,1702.0,2.96,1.93,
33500,1674.0,2.96,1.93,
34000,1610.0,2.96,1.93,
34500,1588.0,2.96,1.93,
35000,1496.0,2.96,1.93,
35501,1496.0,2.97,1.94,
36000,1730.0,2.97,1.93,
36501,1460.0,2.97,1.94,
37000,1716.0,2.97,1.93,
37500,1680.0,2.97,1.93,
38001,1930.0,2.96,1.93,
38500,2034.0,2.95,1.92,
39000,1918.0,2.95,1.92,
39500,1882.0,2.94,1.92,
40000,1870.0,2.94,1.92,
40500,1868.0,2.94,1.92,
41000,1686.0,2.94,1.92,
41500,1846.0,2.93,1.92,
42000,1760.0,2.93,1.92,
42500,1796.0,2.93,1.92,
43000,1624.0,2.93,1.92,
43500,1606.0,2.93,1.92,
44000,1718.0,2.93,1.92,
44500,1694.0,2.93,1.92,
45000,1572.0,2.93,1.92,
45500,1690.0,2.93,1.92,
46000,1812.0,2.93,1.92,
46500,1756.0,2.93,1.92,
47000,1954.0,2.92,1.91,
47500,1802.0,2.92,1.91,
48000,1916.0,2.92,1.91,
48500,1620.0,2.92,1.91,
49000,1582.0,2.92,1.91,
49500,1674.0,2.92,1.91,
50000,1632.0,2.92,1.91,
50500,1710.0,2.92,1.91,
51000,1664.0,2.92,1.91,
51500,1564.0,2.92,1.91,
52000,1638.0,2.93,1.91,
52500,1814.0,2.92,1.91,
53000,1538.0,2.93,1.91,
53500,1662.0,2.93,1.91,
54000,1842.0,2.92,1.91,
54500,1698.0,2.92,1.91,
55000,1728.0,2.92,1.91,
55500,1818.0,2.92,1.91,
56000,1668.0,2.92,1.91,
56500,1664.0,2.92,1.91,
57000,1930.0,2.92,1.91,
57500,1974.0,2.91,1.91,
58000,1680.0,2.91,1.91,
58500,1802.0,2.91,1.90,
59000,1656.0,2.91,1.90,
59500,1790.0,2.91,1.90,
60000,1662.0,2.91,1.90,
60500,1634.0,2.91,1.90,
61000,1834.0,2.91,1.90,
61500,1674.0,2.91,1.90,
62000,1718.0,2.91,1.90,
62500,1596.0,2.91,1.90,
63000,1582.0,2.91,1.90,
63501,1670.0,2.91,1.90,
64000,1526.0,2.91,1.90,
