elapsed_ms,tps,lat_avg_ms,server_lat_avg_ms,event
500,1540.0,2.07,1.70,
1000,2482.0,2.01,1.69,
1500,2574.0,1.97,1.64,
2000,2580.0,1.95,1.63,
2500,2676.0,1.92,1.61,
3000,2524.0,1.93,1.61,
3500,2026.0,1.99,1.67,
4000,2242.0,2.01,1.68,
4500,2338.0,2.02,1.69,
5000,2348.0,2.03,1.69,
5500,2222.0,2.05,1.71,
6000,2424.0,2.04,1.71,
6500,2290.0,2.05,1.72,
7000,2528.0,2.04,1.71,
7500,2388.0,2.04,1.71,
8000,2414.0,2.04,1.71,
8500,2252.0,2.05,1.72,
9000,2442.0,2.05,1.72,
9500,2162.0,2.06,1.73,
10000,2486.0,2.06,1.72,
10500,1766.0,2.06,1.73,
11000,1408.0,2.12,1.79,
11500,2378.0,2.12,1.79,
12000,2450.0,2.12,1.78,
12500,2406.0,2.11,1.78,
13000,2340.0,2.11,1.78,
13500,2254.0,2.11,1.79,
14000,2404.0,2.11,1.79,
14500,2280.0,2.11,1.79,
15000,2550.0,2.11,1.78,
15500,2514.0,2.10,1.78,
16000,2478.0,2.10,1.78,
16500,2348.0,2.10,1.78,
17000,2388.0,2.10,1.78,
17500,2658.0,2.09,1.77,
18000,2490.0,2.09,1.77,
18500,2448.0,2.08,1.77,
19000,2584.0,2.08,1.76,
19500,2398.0,2.08,1.76,
20000,2456.0,2.08,1.76,
20500,2492.0,2.07,1.76,
21000,2660.0,2.07,1.75,
21500,2692.0,2.06,1.75,
22000,2494.0,2.06,1.74,
22500,2538.0,2.06,1.74,
23000,2504.0,2.05,1.74,
23500,2618.0,2.05,1.74,
24000,2366.0,2.05,1.73,
24500,2508.0,2.05,1.73,
25000,2450.0,2.05,1.73,
25500,2574.0,2.04,1.73,
26000,2380.0,2.05,1.73,
26500,2350.0,2.05,1.73,
27000,2490.0,2.05,1.73,
27500,2622.0,2.04,1.73,
28000,2506.0,2.04,1.73,
28500,2456.0,2.04,1.73,
29000,2524.0,2.04,1.73,
29500,2330.0,2.04,1.73,
30000,2432.0,2.04,1.73,
30500,2422.0,2.04,1.73,
31000,2494.0,2.04,1.73,
31500,2674.0,2.03,1.72,
32000,2334.0,2.04,1.73,
32500,2404.0,2.04,1.73,
33000,2382.0,2.04,1.73,
33500,2290.0,2.04,1.73,
34000,2344.0,2.04,1.73,
34500,2480.0,2.04,1.73,
35000,2422.0,2.04,1.73,
35500,2254.0,2.04,1.73,
36000,2746.0,2.04,1.73,
36500,2722.0,2.03,1.73,
37000,2812.0,2.03,1.72,
37500,2584.0,2.03,1.72,
38000,2214.0,2.03,1.72,
38500,2516.0,2.03,1.72,
39000,2434.0,2.03,1.72,
39500,2522.0,2.03,1.72,
40000,2480.0,2.03,1.72,
40500,2352.0,2.03,1.72,
41000,2288.0,2.03,1.72,
41500,2394.0,2.03,1.72,
42000,2178.0,2.03,1.72,
42500,2486.0,2.03,1.72,
43000,2438.0,2.03,1.72,
43500,2310.0,2.03,1.72,
44000,2308.0,2.03,1.73,
44500,2496.0,2.03,1.73,
45000,2492.0,2.03,1.73,
45500,2540.0,2.03,1.72,
46742,2142.0,2.03,1.72,
47000,1190.0,2.07,1.72,
47500,2282.0,2.07,1.73,
48000,2360.0,2.07,1.73,
48500,2366.0,2.07,1.73,
49000,2428.0,2.07,1.73,
49500,2328.0,2.07,1.73,
50000,2242.0,2.07,1.73,
50500,2150.0,2.07,1.73,
51000,2438.0,2.07,1.73,
51500,2392.0,2.07,1.73,
52000,2370.0,2.07,1.73,
52500,2620.0,2.07,1.73,
53000,2620.0,2.07,1.73,
53500,2310.0,2.07,1.73,
54000,2600.0,2.07,1.72,
54500,2414.0,2.06,1.72,
55000,2318.0,2.07,1.73,
55500,2528.0,2.06,1.72,
56000,2588.0,2.06,1.72,
56500,2550.0,2.06,1.72,
57000,2460.0,2.06,1.72,
57500,2500.0,2.06,1.72,
58000,2610.0,2.06,1.72,
58500,2530.0,2.06,1.72,
59000,2240.0,2.06,1.72,
59500,2408.0,2.06,1.72,
60000,2376.0,2.06,1.72,
60500,2308.0,2.06,1.72,
61000,2286.0,2.06,1.72,
61500,2220.0,2.06,1.72,
62000,2294.0,2.06,1.72,
62500,2350.0,2.06,1.72,
63000,2244.0,2.06,1.72,
63501,0.0,2.06,1.72,
