elapsed_ms,tps,lat_avg_ms,server_lat_avg_ms,event
500,938.0,3.43,2.02,
1000,1240.0,3.75,2.36,
1500,1520.0,3.54,2.20,
2000,1412.0,3.52,2.19,
2500,1458.0,3.49,2.16,
3000,1500.0,3.46,2.16,
3500,1710.0,3.36,2.13,
4000,1444.0,3.37,2.14,
4500,1640.0,3.32,2.10,
5000,1616.0,3.30,2.10,
5500,1544.0,3.29,2.10,
6000,1444.0,3.29,2.10,
6500,1498.0,3.30,2.10,
7000,1464.0,3.30,2.10,
7500,1598.0,3.29,2.09,
8000,768.0,3.28,2.09,
8500,1416.0,3.40,2.19,
9000,1500.0,3.39,2.19,
9500,1538.0,3.38,2.18,
10000,1610.0,3.37,2.16,
10500,1676.0,3.34,2.16,
11000,1520.0,3.34,2.16,
11500,1610.0,3.33,2.15,
12001,1464.0,3.33,2.15,
12500,1600.0,3.32,2.14,
13000,1600.0,3.31,2.13,
13500,1516.0,3.31,2.13,
14000,1592.0,3.30,2.12,
14500,1620.0,3.29,2.12,
15000,1758.0,3.27,2.11,
15500,1460.0,3.27,2.11,
16000,1658.0,3.26,2.10,
16500,1598.0,3.26,2.09,
17000,1540.0,3.26,2.09,
17500,1546.0,3.26,2.09,
18000,1582.0,3.25,2.08,
18500,1622.0,3.24,2.07,
19000,1544.0,3.24,2.07,
19500,1560.0,3.24,2.07,
20000,1540.0,3.24,2.06,
20500,1612.0,3.24,2.06,
21000,1558.0,3.23,2.05,
21500,1470.0,3.24,2.05,
22000,1586.0,3.23,2.05,
22500,1590.0,3.23,2.05,
23000,1508.0,3.23,2.04,
23500,1492.0,3.23,2.05,
24000,1554.0,3.23,2.04,
24500,1632.0,3.23,2.04,
25000,1646.0,3.22,2.04,
25500,1546.0,3.22,2.03,
26000,1512.0,3.22,2.04,
26500,1650.0,3.22,2.03,
27000,1578.0,3.22,2.03,
27500,1542.0,3.22,2.03,
28000,1578.0,3.21,2.03,
28500,1592.0,3.21,2.03,
29000,1584.0,3.21,2.03,
29500,1534.0,3.21,2.03,
30000,1610.0,3.21,2.03,
30500,1688.0,3.20,2.02,
31000,1434.0,3.21,2.03,
31500,1500.0,3.21,2.03,
32000,1558.0,3.21,2.03,
32500,1500.0,3.21,2.03,
33000,1438.0,3.21,2.03,
33500,1608.0,3.21,2.03,
34000,1712.0,3.20,2.02,
34500,1598.0,3.20,2.02,
35000,1572.0,3.20,2.02,
35500,1524.0,3.20,2.02,
36000,1674.0,3.20,2.02,
36500,1514.0,3.20,2.02,
37000,1524.0,3.20,2.02,
37500,1628.0,3.20,2.02,
38000,1478.0,3.20,2.02,
38500,1552.0,3.20,2.02,
39000,1478.0,3.20,2.02,
39500,1514.0,3.20,2.02,
40000,1540.0,3.20,2.02,
40500,1526.0,3.20,2.02,
41000,1604.0,3.20,2.02,
41501,1566.0,3.20,2.02,
42000,1522.0,3.20,2.02,
42500,1604.0,3.20,2.02,
43000,1776.0,3.19,2.01,
43500,1596.0,3.19,2.01,
44000,1606.0,3.19,2.01,
44500,1532.0,3.19,2.01,
45000,1488.0,3.19,2.01,
45500,1558.0,3.19,2.01,
46000,1552.0,3.19,2.01,
46500,1546.0,3.19,2.01,
47000,1490.0,3.19,2.01,
47500,1416.0,3.19,2.01,
48000,1378.0,3.20,2.01,
48500,1680.0,3.20,2.01,
49000,1508.0,3.20,2.01,
49500,1530.0,3.20,2.01,
50000,1632.0,3.19,2.01,
50500,1662.0,3.19,2.01,
51000,1602.0,3.19,2.01,
51500,1704.0,3.19,2.01,
52000,1518.0,3.19,2.01,
52500,1402.0,3.19,2.01,
53000,1618.0,3.19,2.01,
53500,1580.0,3.19,2.00,
54000,1566.0,3.19,2.00,
54500,1592.0,3.19,2.00,
55000,1582.0,3.19,2.00,
55500,1548.0,3.19,2.00,
56000,1604.0,3.19,2.00,
56500,1526.0,3.19,2.00,
57000,1612.0,3.19,2.00,
57500,1548.0,3.19,2.00,
58000,1534.0,3.19,2.00,
58500,1476.0,3.19,2.00,
59000,1574.0,3.19,2.00,
59500,1506.0,3.19,2.00,
60000,1296.0,3.19,2.00,
