metric,value,notes
NUM_SERVER_DIRS,5,server* folders under eval
NUM_SERVERS_MERGED,5,servers with CSV data
TOTAL_THROUGHPUT,134042.5 Tx/sec,sum of all servers
AVG_LATENCY,214.257 ms,across all batches all servers
P50_LATENCY,96.4 ms,
P95_LATENCY,672.2 ms,
P99_LATENCY,1657.3 ms,
AVG_FAST_PATH_LATENCY,354.580 ms,
AVG_SLOW_PATH_LATENCY,53.038 ms,
TOTAL_FAST_COMMITS,736342,51.7%
TOTAL_SLOW_COMMITS,687658,48.3%
TOTAL_CONFLICT_COMMITS,0,
TOTAL_FAST_PATH_FALLBACKS,158,
